model_name,acc,model_size_mb,parameter_count,avg_inference_latency_64,std_inference_latency_64,avg_inference_latency_1,std_inference_latency_1
mnist,0.9385938593859386,5.883839,1470474,0.0013329408730670905,0.00015313183800845417,0.0001267622632853495,7.931996021353464e-06
sst,0.8119266055045872,5.652849,1412610,0.0010027953556605747,3.19563286115864e-05,0.00015513984435195223,3.554871816429752e-06
mnist_8bit,0.9385938593859386,1.480535,0,0.0005661390389606452,6.417420069453933e-05,0.00015660790589251797,3.47960730864735e-06
mnist_16bit,0.9385938593859386,5.885655,0,0.000959180722570723,0.00012071004421095663,0.0001696667488556717,1.0326271385712067e-05
sst_8bit,0.8096330275229358,1.419903,0,0.0008473566600254603,8.789052910645608e-05,0.00020241206939067315,1.8937977372946463e-05
sst_16bit,0.8119266055045872,5.655295,0,0.0010310615812029159,3.63134646375152e-05,0.0002176146988474995,5.180847951934833e-06
mnist_8bit_static,0.9090909090909091,1.515047,0,0.0005392086733678344,0.0001448632877445155,0.0001490873412521306,4.263607324251732e-06
sst_8bit_static,0.4954128440366973,1.434179,0,0.0008141211100987025,0.00011938487696745565,0.00019600331236463076,2.0684235634766287e-05
